Rank,State,Gdp,
1,Goa,435959,
2,Sikkim,403376,
3,Delhi,376221,
4,Chandigarh,330015,
5,Haryana,247628,
6,Telangana,233325,
7,Karnataka,223175,
8,Kerala,221904,
9,Puducherry,220949,
10,Andaman and Nicobar Islands,218649,
11,Gujarat,213936,
12,Tamil Nadu,213396,
13,Uttarakhand,202895,
14,Maharashtra,202130,
15,Himachal Pradesh,190407,
16,Mizoram,187327,
17,Arunachal Pradesh,169742,
18,Andhra Pradesh,168480,
19,Punjab,151491,
20,Tripura,129675,
21,West Bengal,121463,
22,Nagaland,120518,
23,Rajasthan,116492,
24,Odisha,109730,
25,Chhattisgarh,104989,
26,Jammu and Kashmir,104880,
27,Madhya Pradesh,98418,
28,Assam,86801,
29,Manipur,84746,
30,Meghalaya,82182,
31,Jharkhand,75739,
32,Uttar Pradesh,65431,
33,Bihar,46292,
